responseid	respid	interview_start	interview_end	status	In your current role do you carry out primary research?	published_yesNPG	published_yesnonNPG	published_no	published_nosay	familiar_reproducibility	crisis_yesMedia	crisis_yesJournals	crisis_yesConferences	ciris_yesColleagues	crisis_yesElsewhere	crisis_no	significance_crisis	flagged	proportion_reproducible	field_reproducibility	try_failOwn	try_failElse	published_successElse	published_failElse	nopublish_success	noprublish_fail	job	field
7471	7472	28/10/2015	28/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	No	No	Yes	No	No	No	Research Scientist	Biology
7472	7473	28/10/2015	28/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	0	0	1	There is a significant crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Research Scientist	Medicine
7480	7481	28/10/2015	28/10/2015	complete	Yes	1	1	0	0	Fairly familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	No	Yes	Other (please specify)	Biology
7492	7493	28/10/2015	28/10/2015	complete	Yes	1	0	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...about the same as for other scientific fields on average"""	No	Yes	Yes	No	No	No	Post-doctoral Fellow	Biology
7494	7495	28/10/2015	28/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	Not enough	10%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	Professor	Earth and Environmental Science
7495	7496	28/10/2015	28/10/2015	complete	Yes	1	0	0	0	Very familiar	1	1	1	1	1	0	There is a significant crisis of reproducibility	Not enough	20%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	Yes	Yes	Associate professor/Lecturer	Medicine
7496	7497	28/10/2015	28/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Senior Scientist	Chemistry
7499	7500	28/10/2015	28/10/2015	complete	Yes	1	0	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Research Scientist	Biology
7513	7514	29/10/2015	29/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is no crisis of reproducibility	I am unsure	80%	"...better than for other scientific fields on average."""	Yes	No	No	No	No	No	PhD Student	Biology
7528	7529	29/10/2015	29/10/2015	complete	Yes	0	1	0	0	Very familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Associate professor/Lecturer	Engineering
7531	7532	29/10/2015	29/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	I am unsure	70%	I am unsure	Yes	Yes	I can't remember	Yes	No	No	Professor	Other
7535	7536	29/10/2015	29/10/2015	complete	Yes	1	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	Not enough	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	Yes	Staff Scientist	Biology
7536	7537	29/10/2015	29/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	20%	I am unsure	Yes	Yes	I can't remember	I can't remember	I can't remember	I can't remember	Senior Scientist	Biology
7539	7540	29/10/2015	29/10/2015	complete	Yes	0	1	0	0	Not at all familiar	0	0	0	0	0	1	I don't know	I am unsure	80%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	No	No	Post-doctoral Fellow	Chemistry
7542	7543	29/10/2015	29/10/2015	complete	Yes	1	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	I am unsure	No	Yes	Yes	No	No	I can't remember	Research Scientist	Biology
7547	7548	29/10/2015	29/10/2015	complete	Yes	0	0	1	0	Fairly familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	I am unsure	Yes	Yes	No	No	No	No	PhD Student	Biology
7568	7569	29/10/2015	29/10/2015	complete	Yes	1	0	0	0	Very familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	No	Yes	No	No	Yes	Yes	Student	Engineering
7579	7580	29/10/2015	29/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	1	1	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Post-doctoral Fellow	Other
7587	7588	29/10/2015	29/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	0	0	0	There is a slight crisis of reproducibility	Not enough	80%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	PhD Student	Other
7591	7592	29/10/2015	29/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	Not enough	70%	"...better than for other scientific fields on average."""	No	Yes	Yes	Yes	No	No	Post-doctoral Fellow	Engineering
7608	7609	29/10/2015	29/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	I am unsure	No	Yes	Yes	Yes	No	No	Post-doctoral Fellow	Biology
7609	7610	29/10/2015	29/10/2015	complete	Yes	0	1	0	0	Very familiar	1	0	1	1	0	0	I don't know	Too much	90%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Associate professor/Lecturer	Chemistry
7614	7615	29/10/2015	29/10/2015	complete	Yes	0	0	0	1	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	No	Yes	Yes	Yes	No	Yes	Technician/Research Assistant	Biology
7617	7618	29/10/2015	29/10/2015	complete	Yes	1	1	0	0	Fairly familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	80%	"...worse than for other scientific fields on average."""	Yes	Yes	No	Yes	No	No	Research Scientist	Biology
7618	7619	29/10/2015	29/10/2015	complete	Yes	1	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	No	Yes	Yes	Yes	I can't remember	I can't remember	Principal Investigator	Biology
7621	7622	29/10/2015	29/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a slight crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Post-doctoral Fellow	Biology
7622	7623	29/10/2015	30/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	I don't know	A reasonable amount	70%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	Senior Scientist	Other
7623	7624	29/10/2015	29/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	Principal Investigator	Biology
7651	7652	30/10/2015	30/10/2015	complete	Yes	0	0	0	1	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	100%	I am unsure	Yes	No	No	No	No	No	Research Scientist	Biology
7654	7655	30/10/2015	30/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	0	0	1	There is a significant crisis of reproducibility	Too much	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	I can't remember	Research Director/VP of Research	Physics
7655	7656	30/10/2015	30/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	1	1	0	0	There is no crisis of reproducibility	I am unsure	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	No	Post-doctoral Fellow	Medicine
7658	7659	30/10/2015	30/10/2015	complete	Yes	0	1	0	0	Very familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	Professor	Other
7666	7667	30/10/2015	30/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	No	Yes	Yes	No	No	No	Professor	Medicine
7680	7681	30/10/2015	30/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
7688	7689	30/10/2015	30/10/2015	complete	Yes	1	0	0	0	Very familiar	0	1	1	1	1	0	There is a significant crisis of reproducibility	Not enough	50%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	Yes	No	No	Other (please specify)	Medicine
7690	7691	30/10/2015	30/10/2015	complete	Yes	1	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	Not enough	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Senior Scientist	Biology
7691	7692	30/10/2015	30/10/2015	complete	Yes	0	0	1	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	Too much	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Other
7693	7694	30/10/2015	30/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	I am unsure	No	No	No	No	No	No	Associate professor/Lecturer	Other
7703	7704	30/10/2015	30/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	I don't know	I am unsure	70%	"...worse than for other scientific fields on average."""	No	Yes	Yes	No	No	No	Professor	Other
7713	7714	30/10/2015	30/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	Yes	Yes	Yes	PhD Student	Biology
7721	7722	31/10/2015	31/10/2015	complete	Yes	0	0	1	0	Very familiar	1	0	1	0	0	0	There is a slight crisis of reproducibility	Too much	90%	"...better than for other scientific fields on average."""	Yes	No	No	No	No	No	PhD Student	Biology
7725	7726	31/10/2015	31/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	I can't remember	Yes	I can't remember	Yes	No	Research Scientist	Other
7737	7738	31/10/2015	31/10/2015	complete	Yes	1	0	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	0%	I am unsure	No	No	No	No	No	No	Medical Professional/Doctor	Medicine
7751	7752	31/10/2015	31/10/2015	complete	Yes	0	0	0	1	Very familiar	0	0	0	0	1	0	There is a significant crisis of reproducibility	Not enough	90%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	Yes	Yes	PhD Student	Physics
7754	7755	31/10/2015	31/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	0	1	0	There is a significant crisis of reproducibility	I am unsure	20%	I am unsure	No	Yes	Yes	No	Yes	Yes	Senior Scientist	Other
7758	7759	31/10/2015	31/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	I can't remember	Yes	Yes	I can't remember	I can't remember	I can't remember	Associate professor/Lecturer	Medicine
7762	7763	31/10/2015	31/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	Other (please specify)	Other
7766	7767	31/10/2015	31/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	1	0	There is a significant crisis of reproducibility	Not enough	50%	I am unsure	No	Yes	Yes	Yes	No	No	Post-doctoral Fellow	Biology
7799	7800	01/11/2015	01/11/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Consultant/Fellow/Attending Physician	Medicine
7800	7801	01/11/2015	01/11/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	0	0	1	There is a significant crisis of reproducibility	Not enough	50%	I am unsure	Yes	Yes	No	No	No	No	Research Scientist	Other
7820	7821	01/11/2015	01/11/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...worse than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Post-doctoral Fellow	Biology
7835	7836	02/11/2015	02/11/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	Not enough	90%	I am unsure	Yes	Yes	No	No	No	No	Student	Other
7840	7841	02/11/2015	02/11/2015	complete	Yes	0	0	1	0	Fairly familiar	0	0	1	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	Yes	No	No	PhD Student	Other
7846	7847	02/11/2015	02/11/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	0	1	0	There is a significant crisis of reproducibility	Not enough	70%	I am unsure	No	Yes	No	No	No	No	Associate professor/Lecturer	Chemistry
7859	7860	02/11/2015	02/11/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	10%	"...worse than for other scientific fields on average."""	No	I can't remember	No	No	I can't remember	Yes	PhD Student	Other
7862	7863	02/11/2015	02/11/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	0	0	1	There is no crisis of reproducibility	I am unsure	50%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Other (please specify)	Earth and Environmental Science
7865	7866	02/11/2015	02/11/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	30%	I am unsure	No	No	No	No	No	No	Associate professor/Lecturer	Biology
7870	7871	02/11/2015	02/11/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
7875	7876	02/11/2015	02/11/2015	complete	Yes	0	0	1	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	I can't remember	I can't remember	Yes	Yes	PhD Student	Biology
7880	7881	02/11/2015	02/11/2015	complete	Yes	0	0	1	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
7888	7889	02/11/2015	02/11/2015	complete	Yes	0	0	1	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	Too much	90%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	Yes	Technician/Research Assistant	Medicine
7899	7900	02/11/2015	02/11/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	PhD Student	Biology
7906	7907	02/11/2015	02/11/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	Yes	Post-doctoral Fellow	Chemistry
7908	7909	02/11/2015	02/11/2015	complete	Yes	0	1	0	0	Somewhat familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
7920	7921	02/11/2015	02/11/2015	complete	Yes	0	0	1	0	Somewhat familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Technician/Research Assistant	Medicine
7921	7922	02/11/2015	02/11/2015	complete	Yes	0	1	0	0	Very familiar	1	0	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Other
7935	7936	03/11/2015	03/11/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	0	0	1	There is a significant crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
7937	7938	03/11/2015	03/11/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	I am unsure	50%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Principal Investigator	Other
7942	7943	03/11/2015	03/11/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Earth and Environmental Science
7945	7946	03/11/2015	03/11/2015	complete	Yes	0	0	1	0	Somewhat familiar	0	0	0	0	0	1	I don't know	I am unsure	0%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Associate professor/Lecturer	Other
7962	7963	03/11/2015	03/11/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	Yes	Yes	No	Yes	No	No	Associate professor/Lecturer	Chemistry
7967	7968	03/11/2015	03/11/2015	complete	Yes	1	0	0	0	Fairly familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	PhD Student	Biology
7970	7971	03/11/2015	03/11/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
7983	7984	03/11/2015	03/11/2015	complete	Yes	1	0	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	No	Yes	Yes	No	No	No	Research Director/VP of Research	Biology
7987	7988	03/11/2015	03/11/2015	complete	Yes	1	1	0	0	Very familiar	1	1	1	1	1	0	There is a significant crisis of reproducibility	Not enough	30%	I am unsure	Yes	Yes	Yes	Yes	Yes	No	PhD Student	Other
7995	7996	03/11/2015	03/11/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	1	0	There is a slight crisis of reproducibility	Too much	80%	"...better than for other scientific fields on average."""	No	Yes	Yes	Yes	Yes	No	Research Director/VP of Research	Physics
7997	7998	03/11/2015	03/11/2015	complete	Yes	0	0	1	0	Very familiar	1	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
7998	7999	03/11/2015	03/11/2015	complete	Yes	1	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	Not enough	70%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Research Scientist	Biology
8006	8007	03/11/2015	03/11/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Physics
8007	8008	03/11/2015	03/11/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology
8012	8013	03/11/2015	03/11/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	I don't know	Not enough	30%	"...worse than for other scientific fields on average."""	No	Yes	Yes	No	No	No	Consultant/Fellow/Attending Physician	Medicine
8021	8022	04/11/2015	04/11/2015	complete	Yes	0	0	0	1	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Too much	40%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	Yes	Technician/Research Assistant	Biology
8025	8026	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Somewhat familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	10%	I am unsure	No	Yes	No	No	No	No	Research Scientist	Other
8028	8029	04/11/2015	04/11/2015	complete	Yes	0	0	1	0	Somewhat familiar	0	1	0	0	0	0	I don't know	I am unsure	90%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Consultant/Fellow/Attending Physician	Materials Science
8040	8041	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	Post-doctoral Fellow	Biology
8049	8050	04/11/2015	04/11/2015	complete	Yes	0	0	1	0	Fairly familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Student	Other
8051	8052	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	Yes	Yes	Yes	PhD Student	Engineering
8151	8152	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Fairly familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	I am unsure	No	Yes	No	No	No	No	PhD Student	Earth and Environmental Science
8168	8169	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	1	0	There is a significant crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	Post-doctoral Fellow	Biology
8182	8183	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	I am unsure	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
8205	8206	04/11/2015	04/11/2015	complete	Yes	1	0	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology
8269	8270	04/11/2015	04/11/2015	complete	Yes	1	0	0	0	Very familiar	1	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Principal Investigator	Biology
8275	8276	04/11/2015	04/11/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	Post-doctoral Fellow	Engineering
8315	8316	04/11/2015	04/11/2015	complete	Yes	0	0	1	0	Fairly familiar	0	1	0	0	1	0	There is a slight crisis of reproducibility	Not enough	10%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology
8337	8338	04/11/2015	04/11/2015	complete	Yes	0	0	1	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Materials Science
8364	8365	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	Not enough	80%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	PhD Student	Biology
8365	8366	04/11/2015	04/11/2015	complete	Yes	0	0	1	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Other (please specify)	Medicine
8370	8371	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Very familiar	1	0	0	0	0	0	There is no crisis of reproducibility	Too much	90%	I am unsure	No	No	No	No	No	No	Associate professor/Lecturer	Biology
8380	8381	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	1	1	1	0	There is a slight crisis of reproducibility	Too much	70%	"...better than for other scientific fields on average."""	Yes	Yes	No	Yes	No	No	Post-doctoral Fellow	Biology
8381	8382	04/11/2015	04/11/2015	complete	Yes	0	0	1	0	Somewhat familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	I am unsure	10%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
8396	8397	04/11/2015	04/11/2015	complete	Yes	0	0	1	0	Not very familiar	0	0	0	0	1	0	I don't know	I am unsure	80%	I am unsure	No	Yes	No	No	No	No	PhD Student	Other
8448	8449	04/11/2015	04/11/2015	complete	Yes	0	0	0	1	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	I am unsure	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology
8465	8466	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	Yes	No	No	Post-doctoral Fellow	Biology
8471	8472	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	Yes	Yes	Medical Professional/Doctor	Medicine
8483	8484	04/11/2015	04/11/2015	complete	Yes	1	0	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...about the same as for other scientific fields on average"""	No	Yes	Yes	No	No	No	Professor	Other
8486	8487	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	I am unsure	Yes	Yes	No	No	No	No	Associate professor/Lecturer	Medicine
8510	8511	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	Not enough	50%	I am unsure	Yes	Yes	No	No	No	No	Laboratory Director/Head	Medicine
8524	8525	04/11/2015	04/11/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is no crisis of reproducibility	Too much	50%	"...about the same as for other scientific fields on average"""	No	No	Yes	No	No	No	Post-doctoral Fellow	Other
8540	8541	04/11/2015	04/11/2015	complete	Yes	1	0	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	Too much	80%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	Yes	Principal Investigator	Medicine
8579	8580	04/11/2015	04/11/2015	complete	Yes	1	0	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	70%	I am unsure	No	Yes	No	No	No	No	PhD Student	Earth and Environmental Science
8622	8623	05/11/2015	05/11/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	Yes	No	No	Post-doctoral Fellow	Biology
8644	8645	05/11/2015	05/11/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	I am unsure	Yes	Yes	No	No	No	Yes	Professor	Earth and Environmental Science
8649	8650	05/11/2015	05/11/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	Research Scientist	Biology
